,code,coname,carm,yy,mm,dd,title
21415,139480,이마트,0.065058113,2014.0,1.0,29.0,이마트-12월 실적 Review: 공휴일 일수 부족으로 12월 기존점 신장률 하락했으나 1월 구정효과로 상승 중
21416,139480,이마트,0.065058113,2014.0,1.0,29.0,이마트-12월 실적 Review: 공휴일 일수 부족으로 12월 기존점 신장률 하락했으나 1월 구정효과로 상승 중
16775,3490,대한항공,0.0406967151,2012.0,3.0,8.0,항공운송-여객 및 화물 수송량 증가세 가시화
16800,20560,아시아나항공,-0.023603285,2012.0,3.0,8.0,항공운송-여객 및 화물 수송량 증가세 가시화
5844,14620,성광벤드,0.0163983212,2013.0,3.0,14.0,피팅-실적 우려는 주가에 충분히 반영
5845,23160,태광,0.0152983212,2013.0,3.0,14.0,피팅-실적 우려는 주가에 충분히 반영
34432,3220,대원제약,0.0053075282,2018.0,2.0,21.0,"대원제약-4Q 이익은 부진했으나, 처방액은 여전히 견조"
34433,3220,대원제약,0.0053075282,2018.0,2.0,21.0,"대원제약-4Q 이익은 부진했으나, 처방액은 여전히 견조"
31865,47040,대우건설,0.1311684957,2017.0,2.0,10.0,대우건설-쇼크 후 V자 실적 반등 예상
31866,47040,대우건설,0.1311684957,2017.0,2.0,10.0,대우건설-쇼크 후 V자 실적 반등 예상
21513,139480,이마트,0.0459106038,2014.0,11.0,13.0,이마트
22842,139480,이마트,0.0162898857,2015.0,1.0,23.0,이마트
22843,139480,이마트,0.0162898857,2015.0,1.0,23.0,이마트
31594,139480,이마트,0.0052114601,2017.0,1.0,10.0,이마트
33328,139480,이마트,-0.012851557,2018.0,1.0,22.0,이마트
33329,139480,이마트,-0.012851557,2018.0,1.0,22.0,이마트
34544,139480,이마트,-0.078472009,2018.0,1.0,12.0,이마트
40379,24110,기업은행,-0.054793677,2015.0,3.0,9.0,은행-NIM 하락에도 이익 방어 가능하나 투자심리 개선은 4~5 월로 전망
40395,55550,신한지주,-0.000493677,2015.0,3.0,9.0,은행-NIM 하락에도 이익 방어 가능하나 투자심리 개선은 4~5 월로 전망
40402,86790,하나금융지주,-0.040293677,2015.0,3.0,9.0,은행-NIM 하락에도 이익 방어 가능하나 투자심리 개선은 4~5 월로 전망
40406,105560,KB금융,-0.022293677,2015.0,3.0,9.0,은행-NIM 하락에도 이익 방어 가능하나 투자심리 개선은 4~5 월로 전망
40408,138930,BNK금융지주,-0.024193677,2015.0,3.0,9.0,은행-NIM 하락에도 이익 방어 가능하나 투자심리 개선은 4~5 월로 전망
40410,139130,DGB금융지주,-0.053393677,2015.0,3.0,9.0,은행-NIM 하락에도 이익 방어 가능하나 투자심리 개선은 4~5 월로 전망
34678,6650,대한유화,0.0707705939,2018.0,1.0,31.0,"석유화학-춘절 랠리, 2017년과 다른 이유?"
34684,9830,한화솔루션,0.0103705939,2018.0,1.0,31.0,"석유화학-춘절 랠리, 2017년과 다른 이유?"
34687,11170,롯데케미칼,0.0464705939,2018.0,1.0,31.0,"석유화학-춘절 랠리, 2017년과 다른 이유?"
34690,11780,금호석유,0.0446705939,2018.0,1.0,31.0,"석유화학-춘절 랠리, 2017년과 다른 이유?"
34724,51910,LG화학,-0.063829406,2018.0,1.0,31.0,"석유화학-춘절 랠리, 2017년과 다른 이유?"
44563,4020,현대제철,0.0017187124,2014.0,11.0,6.0,"현대제철-3Q14 별도 영업이익 3,657억원, 영업이익률 9.5%로 기대치 상회"
44564,4020,현대제철,0.0017187124,2014.0,11.0,6.0,"현대제철-3Q14 별도 영업이익 3,657억원, 영업이익률 9.5%로 기대치 상회"
30353,10130,고려아연,-0.038090605,2017.0,10.0,28.0,고려아연-아연 가격 급등에 따른 일시적 요인
30354,10130,고려아연,-0.038090605,2017.0,10.0,28.0,고려아연-아연 가격 급등에 따른 일시적 요인
33706,2790,아모레G,0.0265874889,2018.0,1.0,15.0,화장품-12월 화장품 수출 데이터 update
33763,90430,아모레퍼시픽,-0.019612511,2018.0,1.0,15.0,화장품-12월 화장품 수출 데이터 update
33785,161890,한국콜마,0.0477874889,2018.0,1.0,15.0,화장품-12월 화장품 수출 데이터 update
33789,192820,코스맥스,0.0391874889,2018.0,1.0,15.0,화장품-12월 화장품 수출 데이터 update
15903,84870,TBH글로벌,0.0773139153,2012.0,2.0,14.0,베이직하우스-2012년 투자비용 부담 완화로 수익성 개선 기대
15904,84870,TBH글로벌,0.0773139153,2012.0,2.0,14.0,베이직하우스-2012년 투자비용 부담 완화로 수익성 개선 기대
10176,54800,아이디스홀딩스,-0.019518773,2010.0,8.0,30.0,통신장비-어닝스 가이드 09월 산업자료
10177,60720,KH바텍,0.0520812268,2010.0,8.0,30.0,통신장비-어닝스 가이드 09월 산업자료
28227,52710,아모텍,0.019172983,2016.0,6.0,29.0,핸드셋-스마트폰 판매동향: Top10 중 7 업체는 중국
28270,88390,이녹스,0.047272983,2016.0,6.0,29.0,핸드셋-스마트폰 판매동향: Top10 중 7 업체는 중국
28291,122990,와이솔,0.026172983,2016.0,6.0,29.0,핸드셋-스마트폰 판매동향: Top10 중 7 업체는 중국
7430,4990,롯데지주,-0.007517681,2017.0,10.0,18.0,롯데제과-원가 부담으로 손익 개선 제한적일 전망
7431,4990,롯데지주,-0.007517681,2017.0,10.0,18.0,롯데제과-원가 부담으로 손익 개선 제한적일 전망
27736,210,대림산업,0.0813310354,2016.0,1.0,29.0,대림산업-불확실성을 걷어내고 전방위적인 실적개선 돌입
27737,210,대림산업,0.0813310354,2016.0,1.0,29.0,대림산업-불확실성을 걷어내고 전방위적인 실적개선 돌입
7793,10140,삼성중공업,0.0024130736,2009.0,11.0,10.0,조선-2010년 신조선가 추가 하락 예상
7794,10620,현대미포조선,-0.023686926,2009.0,11.0,10.0,조선-2010년 신조선가 추가 하락 예상
7805,42660,대우조선해양,-0.002986926,2009.0,11.0,10.0,조선-2010년 신조선가 추가 하락 예상
7810,67250,STX조선해양,-0.000386926,2009.0,11.0,10.0,조선-2010년 신조선가 추가 하락 예상
7817,97230,한진중공업,0.0098130736,2009.0,11.0,10.0,조선-2010년 신조선가 추가 하락 예상
38842,5830,DB손해보험,0.02310492,2013.0,6.0,3.0,동부화재-RBC 강점이 영업력 확대로 이어질 때 프리미엄 발생
38843,5830,DB손해보험,0.02310492,2013.0,6.0,3.0,동부화재-RBC 강점이 영업력 확대로 이어질 때 프리미엄 발생
21143,7070,GS리테일,0.0617368513,2014.0,12.0,1.0,GS리테일
21448,7070,GS리테일,0.0378106038,2014.0,11.0,13.0,GS리테일
31478,7070,GS리테일,0.0189114601,2017.0,1.0,10.0,GS리테일
34082,7070,GS리테일,0.0563014497,2018.0,1.0,11.0,GS리테일
34451,7070,GS리테일,0.0145279909,2018.0,1.0,12.0,GS리테일
17561,4020,현대제철,-0.025426993,2013.0,2.0,1.0,현대제철-4Q12 Review : 실질적인 바닥을 지났다
17562,4020,현대제철,-0.025426993,2013.0,2.0,1.0,현대제철-4Q12 Review : 실질적인 바닥을 지났다
7408,89470,HDC현대EP,0.0066223283,2017.0,8.0,1.0,현대EP-전방산업 업황 침체에 따른 실적 부진
7409,89470,HDC현대EP,0.0066223283,2017.0,8.0,1.0,현대EP-전방산업 업황 침체에 따른 실적 부진
44009,4020,현대제철,-0.006337761,2015.0,12.0,28.0,"철강금속-1H16, 철강사들의 실적개선 기대감 상승"
44010,5490,POSCO,-0.027337761,2015.0,12.0,28.0,"철강금속-1H16, 철강사들의 실적개선 기대감 상승"
44012,103140,풍산,-0.004637761,2015.0,12.0,28.0,"철강금속-1H16, 철강사들의 실적개선 기대감 상승"
26735,12630,HDC,0.104078381,2016.0,3.0,17.0,건설-사우디 리스크 대안은?
26750,47040,대우건설,0.041878381,2016.0,3.0,17.0,건설-사우디 리스크 대안은?
5898,10130,고려아연,0.0432957248,2013.0,2.0,8.0,고려아연-2012년 4분기 부진한 실적과 추정원인
5899,10130,고려아연,0.0432957248,2013.0,2.0,8.0,고려아연-2012년 4분기 부진한 실적과 추정원인
23817,9540,한국조선해양,0.006519493,2015.0,12.0,3.0,조선-3Q WTI 평균 46.5불. Shale 생산 업체들은 이 유가에서 버틸 수 있을까?
23820,10140,삼성중공업,-0.034480507,2015.0,12.0,3.0,조선-3Q WTI 평균 46.5불. Shale 생산 업체들은 이 유가에서 버틸 수 있을까?
23822,10620,현대미포조선,-0.053080507,2015.0,12.0,3.0,조선-3Q WTI 평균 46.5불. Shale 생산 업체들은 이 유가에서 버틸 수 있을까?
23876,42660,대우조선해양,-0.080680507,2015.0,12.0,3.0,조선-3Q WTI 평균 46.5불. Shale 생산 업체들은 이 유가에서 버틸 수 있을까?
33744,36930,주성엔지니어링,0.0415053479,2018.0,5.0,11.0,반도체/Display-Tech 중소형주 트렌드 변화: 1. 장비
33768,95610,테스,0.0122053479,2018.0,5.0,11.0,반도체/Display-Tech 중소형주 트렌드 변화: 1. 장비
6885,4020,현대제철,0.0077431345,2016.0,1.0,28.0,현대제철-최악의 국면은 지났다
6886,4020,현대제철,0.0077431345,2016.0,1.0,28.0,현대제철-최악의 국면은 지났다
5722,10520,현대하이스코,-0.096335577,2013.0,1.0,29.0,현대하이스코-일반냉연과 강관 수익성 악화로 4분기 부진
5723,10520,현대하이스코,-0.096335577,2013.0,1.0,29.0,현대하이스코-일반냉연과 강관 수익성 악화로 4분기 부진
28214,39130,하나투어,0.0875600234,2016.0,3.0,2.0,여행-2월 아웃바운드 여행시장 업데이트
28259,80160,모두투어,0.1031600234,2016.0,3.0,2.0,여행-2월 아웃바운드 여행시장 업데이트
44160,4020,현대제철,0.0246924768,2016.0,12.0,22.0,현대제철-2017년 마진의 안정성 제고 기대
44161,4020,현대제철,0.0246924768,2016.0,12.0,22.0,현대제철-2017년 마진의 안정성 제고 기대
10205,9150,삼성전기,-0.03868212,2010.0,12.0,21.0,"삼성전기-기회와 리스크의 혼재, 이제부터가 진검 승부!"
10206,9150,삼성전기,-0.03868212,2010.0,12.0,21.0,"삼성전기-기회와 리스크의 혼재, 이제부터가 진검 승부!"
44251,720,현대건설,0.0223390392,2017.0,2.0,8.0,건설/부동산-주택부문 추가 이익 개선 기대
44252,6360,GS건설,0.0252390392,2017.0,2.0,8.0,건설/부동산-주택부문 추가 이익 개선 기대
40698,20560,아시아나항공,0.0467152513,2015.0,1.0,13.0,아시아나항공-신규 LCC 설립과 이익 모멘텀 강화
40699,20560,아시아나항공,0.0467152513,2015.0,1.0,13.0,아시아나항공-신규 LCC 설립과 이익 모멘텀 강화
42578,150,두산,0.0103705939,2018.0,1.0,31.0,"지주회사-공정위, '상표권사용료 수취는 적법한 행위'"
42579,880,한화,0.0071705939,2018.0,1.0,31.0,"지주회사-공정위, '상표권사용료 수취는 적법한 행위'"
42580,1040,CJ,-0.037829406,2018.0,1.0,31.0,"지주회사-공정위, '상표권사용료 수취는 적법한 행위'"
42581,3550,LG,-0.021429406,2018.0,1.0,31.0,"지주회사-공정위, '상표권사용료 수취는 적법한 행위'"
42584,34730,SK,-0.014029406,2018.0,1.0,31.0,"지주회사-공정위, '상표권사용료 수취는 적법한 행위'"
7094,161890,한국콜마,-0.071237316,2016.0,11.0,14.0,한국콜마-성장 그림 지속되나 일회성 비용 반영으로 부진
7095,161890,한국콜마,-0.071237316,2016.0,11.0,14.0,한국콜마-성장 그림 지속되나 일회성 비용 반영으로 부진
26576,35420,NAVER,-0.066993677,2015.0,3.0,9.0,인터넷포털/게임-홍콩/싱가폴 마케팅 후기
26582,36570,엔씨소프트,-0.029393677,2015.0,3.0,9.0,인터넷포털/게임-홍콩/싱가폴 마케팅 후기
23433,10130,고려아연,-0.024345721,2015.0,2.0,3.0,고려아연-4Q14 Review-시간은 투자자의 편이다
23434,10130,고려아연,-0.024345721,2015.0,2.0,3.0,고려아연-4Q14 Review-시간은 투자자의 편이다
25871,49770,동원F&B,-0.063842272,2015.0,10.0,7.0,동원F&B
30024,49770,동원F&B,-0.113094533,2016.0,11.0,22.0,동원F&B
12653,9150,삼성전기,-0.026854697,2011.0,3.0,22.0,삼성전기-1분기 끝이 아닌 시작
12654,9150,삼성전기,-0.026854697,2011.0,3.0,22.0,삼성전기-1분기 끝이 아닌 시작
33899,138250,엔에스쇼핑,-0.031357439,2018.0,9.0,12.0,엔에스쇼핑-낮은 온라인 비중 아쉬워
33900,138250,엔에스쇼핑,-0.031357439,2018.0,9.0,12.0,엔에스쇼핑-낮은 온라인 비중 아쉬워
17577,34020,두산중공업,-0.036486346,2013.0,10.0,30.0,두산중공업-3Q13 실적 review: 4Q13 신규수주 모멘텀 견조
17578,34020,두산중공업,-0.036486346,2013.0,10.0,30.0,두산중공업-3Q13 실적 review: 4Q13 신규수주 모멘텀 견조
7744,103140,풍산,-0.112581035,2018.0,2.0,2.0,풍산-이상한 부진
7745,103140,풍산,-0.112581035,2018.0,2.0,2.0,풍산-이상한 부진
8476,30210,KTB투자증권,0.0025063539,2009.0,3.0,5.0,KTB투자증권
18911,30210,KTB투자증권,-0.099143583,2013.0,7.0,8.0,KTB투자증권
28658,30210,KTB투자증권,-0.03945,2016.0,5.0,19.0,KTB투자증권
36008,10130,고려아연,0.0578008888,2018.0,2.0,7.0,고려아연-4Q17 Review: 지나간 어제 다가올 내일
36009,10130,고려아연,0.0578008888,2018.0,2.0,7.0,고려아연-4Q17 Review: 지나간 어제 다가올 내일
30807,192820,코스맥스,0.0945171787,2017.0,2.0,15.0,코스맥스-4Q 기대치 충족 vs 밸류에이션 부담 고조
30808,192820,코스맥스,0.0945171787,2017.0,2.0,15.0,코스맥스-4Q 기대치 충족 vs 밸류에이션 부담 고조
43328,720,현대건설,0.0719918891,2011.0,9.0,15.0,건설-정책에 대한 기대감 약화로 서울/수도권 부동산 침체는 지속될 전망
43334,12630,HDC,-0.102508111,2011.0,9.0,15.0,건설-정책에 대한 기대감 약화로 서울/수도권 부동산 침체는 지속될 전망
43335,13580,계룡건설,-0.001708111,2011.0,9.0,15.0,건설-정책에 대한 기대감 약화로 서울/수도권 부동산 침체는 지속될 전망
43336,14790,한라,0.0050918891,2011.0,9.0,15.0,건설-정책에 대한 기대감 약화로 서울/수도권 부동산 침체는 지속될 전망
10554,150,두산,-0.008547663,2010.0,8.0,3.0,지주회사-자체 사업에 주목하자
10560,880,한화,0.066952337,2010.0,8.0,3.0,지주회사-자체 사업에 주목하자
10571,3550,LG,0.011252337,2010.0,8.0,3.0,지주회사-자체 사업에 주목하자
10572,3600,SK,0.020052337,2010.0,8.0,3.0,지주회사-자체 사업에 주목하자
29780,103140,풍산,0.0620633994,2016.0,2.0,25.0,풍산-예상보다 더 좋다
29781,103140,풍산,0.0620633994,2016.0,2.0,25.0,풍산-예상보다 더 좋다
6765,55550,신한지주,-0.019469545,2015.0,12.0,15.0,은행-가계 주택담보대출 관행 변화 추진과 이의 연착륙을 위한 고민
6771,86790,하나금융지주,-0.009469545,2015.0,12.0,15.0,은행-가계 주택담보대출 관행 변화 추진과 이의 연착륙을 위한 고민
6775,105560,KB금융,-0.027269545,2015.0,12.0,15.0,은행-가계 주택담보대출 관행 변화 추진과 이의 연착륙을 위한 고민
6781,139130,DGB금융지주,0.0184304546,2015.0,12.0,15.0,은행-가계 주택담보대출 관행 변화 추진과 이의 연착륙을 위한 고민
8469,9150,삼성전기,-0.014887269,2009.0,7.0,1.0,삼성전기-강렬한 반전은 하반기에도
8470,9150,삼성전기,-0.014887269,2009.0,7.0,1.0,삼성전기-강렬한 반전은 하반기에도
18389,33640,네패스,0.0513666288,2013.0,1.0,24.0,네패스-모바일 AP는 여전히 성장중
18390,33640,네패스,0.0513666288,2013.0,1.0,24.0,네패스-모바일 AP는 여전히 성장중
31522,34230,파라다이스,-0.060721453,2017.0,7.0,10.0,레저-척박한 영업환경 지속
31526,35250,강원랜드,-0.023621453,2017.0,7.0,10.0,레저-척박한 영업환경 지속
31585,114090,GKL,-0.010321453,2017.0,7.0,10.0,레저-척박한 영업환경 지속
6218,60,메리츠화재,-0.002563149,2014.0,12.0,1.0,"손해보험-2014년 10월 Check:삼성화재 long,2위권 short"
6220,810,삼성화재,-0.005363149,2014.0,12.0,1.0,"손해보험-2014년 10월 Check:삼성화재 long,2위권 short"
6221,2550,KB손해보험,-0.013063149,2014.0,12.0,1.0,"손해보험-2014년 10월 Check:삼성화재 long,2위권 short"
8584,100,유한양행,-0.03350326,2009.0,3.0,18.0,제약업 Monthly-오바마 정부의 2010년 예산안이 주는 의미
8587,640,동아쏘시오홀딩스,-0.02100326,2009.0,3.0,18.0,제약업 Monthly-오바마 정부의 2010년 예산안이 주는 의미
8599,8930,한미사이언스,-0.04190326,2009.0,3.0,18.0,제약업 Monthly-오바마 정부의 2010년 예산안이 주는 의미
27247,5440,현대그린푸드,-0.032432726,2016.0,9.0,27.0,"현대그린푸드-계열사 리스크 해소 시점이, 주가 방향성의 주된 변수"
27248,5440,현대그린푸드,-0.032432726,2016.0,9.0,27.0,"현대그린푸드-계열사 리스크 해소 시점이, 주가 방향성의 주된 변수"
39518,810,삼성화재,0.0353896993,2014.0,11.0,3.0,삼성화재-드디어 정상궤도로 복귀
39519,810,삼성화재,0.0353896993,2014.0,11.0,3.0,삼성화재-드디어 정상궤도로 복귀
22738,5880,대한해운,-0.030052533,2015.0,12.0,10.0,대한해운
24088,5880,대한해운,0.0907126836,2015.0,12.0,4.0,대한해운
26996,5880,대한해운,-0.125917269,2016.0,11.0,30.0,대한해운
30442,5880,대한해운,0.067856455,2017.0,1.0,13.0,대한해운
30443,5880,대한해운,-0.061804958,2017.0,4.0,11.0,대한해운
32219,33780,KT&G,-0.026253124,2017.0,10.0,27.0,KT&G-3분기 Key 포인트 점검 및 Revision
32220,33780,KT&G,-0.026253124,2017.0,10.0,27.0,KT&G-3분기 Key 포인트 점검 및 Revision
24589,39130,하나투어,-0.037813573,2015.0,10.0,23.0,하나투어-종합레저 기업에 가장 근접한 사업자
24590,39130,하나투어,-0.037813573,2015.0,10.0,23.0,하나투어-종합레저 기업에 가장 근접한 사업자
17618,10130,고려아연,0.0432957248,2013.0,2.0,8.0,고려아연-4분기 영업이익 4% 증가에 그쳐 부진한 실적
17619,10130,고려아연,0.0432957248,2013.0,2.0,8.0,고려아연-4분기 영업이익 4% 증가에 그쳐 부진한 실적
34504,47050,포스코인터내셔널,0.1551357338,2018.0,1.0,25.0,포스코대우-단기 실적 모멘텀 부각될 것
34505,47050,포스코인터내셔널,0.1551357338,2018.0,1.0,25.0,포스코대우-단기 실적 모멘텀 부각될 것
26897,4020,현대제철,0.0077431345,2016.0,1.0,28.0,현대제철-4Q15 실적 리뷰: 예상보다 컸던 가격 하락 영향
26898,4020,현대제철,0.0077431345,2016.0,1.0,28.0,현대제철-4Q15 실적 리뷰: 예상보다 컸던 가격 하락 영향
40045,41510,에스엠,0.1011952086,2015.0,3.0,5.0,에스엠-중국에 힘입어 3년만에 수익성 개선 기대
40046,41510,에스엠,0.1011952086,2015.0,3.0,5.0,에스엠-중국에 힘입어 3년만에 수익성 개선 기대
26708,210,대림산업,0.0108684554,2016.0,10.0,18.0,건설-속도 조절
26711,720,현대건설,-0.004831545,2016.0,10.0,18.0,건설-속도 조절
26722,6360,GS건설,-0.036231545,2016.0,10.0,18.0,건설-속도 조절
26736,12630,HDC,-0.026931545,2016.0,10.0,18.0,건설-속도 조절
26738,28050,삼성엔지니어링,-0.045431545,2016.0,10.0,18.0,건설-속도 조절
26751,47040,대우건설,-0.024131545,2016.0,10.0,18.0,건설-속도 조절
33019,270,기아차,0.0058082629,2017.0,2.0,3.0,"자동차-현대/기아차 판매 동향과 전망: 2월 근무일수 증가로 회복, 그러나 온도차 큼"
33043,5380,현대차,-0.004691737,2017.0,2.0,3.0,"자동차-현대/기아차 판매 동향과 전망: 2월 근무일수 증가로 회복, 그러나 온도차 큼"
29072,39130,하나투어,-0.062275919,2016.0,2.0,2.0,"하나투어-양호한 실적, 야속한 대외 악재"
29073,39130,하나투어,-0.062275919,2016.0,2.0,2.0,"하나투어-양호한 실적, 야속한 대외 악재"
14875,44820,코스맥스비티아이,0.0512190447,2011.0,12.0,12.0,코스맥스-자회사 실적모멘텀 확대 주목 필요
14876,44820,코스맥스비티아이,0.0512190447,2011.0,12.0,12.0,코스맥스-자회사 실적모멘텀 확대 주목 필요
44546,60,메리츠화재,0.0253801554,2013.0,6.0,5.0,메리츠화재-처분이익의 기여 증가로 기대이상의 순이익 시현
44547,60,메리츠화재,0.0253801554,2013.0,6.0,5.0,메리츠화재-처분이익의 기여 증가로 기대이상의 순이익 시현
10230,78930,GS,-0.028299068,2010.0,10.0,18.0,GS
14348,78930,GS,0.0973771991,2011.0,5.0,18.0,GS
15613,78930,GS,0.0339012263,2012.0,12.0,28.0,GS
18820,78930,GS,0.0209644232,2013.0,1.0,29.0,GS
21589,78930,GS,-0.023126477,2014.0,1.0,14.0,GS
27152,17670,SK텔레콤,-0.044530849,2016.0,3.0,7.0,"통신서비스-2016년 이동통신 주파수 경매, 신중한 접근 예상"
27159,30200,KT,-0.011230849,2016.0,3.0,7.0,"통신서비스-2016년 이동통신 주파수 경매, 신중한 접근 예상"
27160,32640,LG유플러스,0.0089691514,2016.0,3.0,7.0,"통신서비스-2016년 이동통신 주파수 경매, 신중한 접근 예상"
25761,80,하이트진로,0.0477348188,2015.0,11.0,30.0,"음식료-하이트진로, 소주 가격 5.6% 인상"
25795,5300,롯데칠성,-0.021265181,2015.0,11.0,30.0,"음식료-하이트진로, 소주 가격 5.6% 인상"
18778,19680,대교,-0.016898715,2013.0,4.0,26.0,대교-1Q13 Review: 탄탄한 밑그림 확인
18779,19680,대교,-0.016898715,2013.0,4.0,26.0,대교-1Q13 Review: 탄탄한 밑그림 확인
42574,161890,한국콜마,0.0150074061,2018.0,12.0,11.0,한국콜마-2019년이 기대되는 두 가지 이유
42575,161890,한국콜마,0.0150074061,2018.0,12.0,11.0,한국콜마-2019년이 기대되는 두 가지 이유
21727,3830,대한화섬,0.0302805676,2014.0,4.0,22.0,지주-지주회사 총정리 3집
21757,9410,태영건설,0.0815805676,2014.0,4.0,22.0,지주-지주회사 총정리 3집
7024,93050,LF,0.0012443482,2016.0,2.0,4.0,LF-부진했던 4분기
7025,93050,LF,0.0012443482,2016.0,2.0,4.0,LF-부진했던 4분기
29437,64960,S&T모티브,-0.033768965,2016.0,1.0,29.0,"S&T모티브-열심히 뛴 당신, 잠시 쉬어도 된다"
29438,64960,S&T모티브,-0.033768965,2016.0,1.0,29.0,"S&T모티브-열심히 뛴 당신, 잠시 쉬어도 된다"
29192,5940,NH투자증권,-0.01060825,2016.0,11.0,15.0,NH투자증권-배당주로서의 매력 유효
29193,5940,NH투자증권,-0.01060825,2016.0,11.0,15.0,NH투자증권-배당주로서의 매력 유효
27440,39130,하나투어,-0.062275919,2016.0,2.0,2.0,하나투어-관전 포인트는 면세점
27441,39130,하나투어,-0.062275919,2016.0,2.0,2.0,하나투어-관전 포인트는 면세점
31523,34730,SK,0.030688315,2017.0,11.0,14.0,"SK-3Q17 Review - 오늘은 반도체, 내일은 바이오"
31524,34730,SK,0.030688315,2017.0,11.0,14.0,"SK-3Q17 Review - 오늘은 반도체, 내일은 바이오"
9132,11160,두산건설,0.014929275,2009.0,10.0,15.0,건설업종-3분기 실적 Preview : 외형 성장세 지속
9135,12630,HDC,-0.085070725,2009.0,10.0,15.0,건설업종-3분기 실적 Preview : 외형 성장세 지속
9149,47040,대우건설,-0.032870725,2009.0,10.0,15.0,건설업종-3분기 실적 Preview : 외형 성장세 지속
29570,31390,녹십자셀,-0.103355652,2016.0,2.0,4.0,녹십자셀-국내 세포치료제 최초 매출 100억 돌파
29571,31390,녹십자셀,-0.103355652,2016.0,2.0,4.0,녹십자셀-국내 세포치료제 최초 매출 100억 돌파
33717,6400,삼성SDI,-0.016871723,2018.0,11.0,1.0,반도체와반도체장비-반도체 업계 CAPEX 조정 이슈 점검
33793,213420,덕산네오룩스,0.0316282771,2018.0,11.0,1.0,반도체와반도체장비-반도체 업계 CAPEX 조정 이슈 점검
36494,34220,LG디스플레이,0.0951740663,2010.0,3.0,31.0,LG디스플레이-추세적 실적상승세 확인하는 1Q10 실적
36495,34220,LG디스플레이,0.0951740663,2010.0,3.0,31.0,LG디스플레이-추세적 실적상승세 확인하는 1Q10 실적
21465,30000,제일기획,-0.05612284,2014.0,3.0,3.0,"미디어-방통위, 수신료 인상 결의. 규제 완화 지속"
21468,34120,SBS,-0.00112284,2014.0,3.0,3.0,"미디어-방통위, 수신료 인상 결의. 규제 완화 지속"
36407,3450,현대증권,0.0193009316,2010.0,10.0,18.0,증권업-FY10 2Q Preview: 우호적 매크로 환경으로 이익 증가
36414,6800,미래에셋대우,0.0007009316,2010.0,10.0,18.0,증권업-FY10 2Q Preview: 우호적 매크로 환경으로 이익 증가
